Child DCN,Child MOSIS ID,RefPersonRelationshipType.Description,RelatedPerson LastName,RelatedPerson FirstName,RelatedPerson MiddleName,RelatedPerson GenerationCode,RelatedPerson BirthDate,RelatedPerson PostalCode,RelatedPerson AddressCountyName,RelatedPerson City,RelatedPerson RefSex.Description,RelatedPerson HispanicLatinoEthnicity,RelatedPerson RefEmploymentStatus.Description,RelatedPerson EmploymentStatusDate
0000002550,002550,Stepmother,Jackson,Carla,Maria,,1980-04-14,64775,STONE,North Michael,Female,Yes,Unemployed,2022-07-06
0000002551,002551,Foster mother,Roberts,Laura,,,1987-05-31,64235,LINN,Sharpstad,Female,Yes,Employed,2025-03-06
0000002551,002551,Grandfather,Herrera,Robert,,,1990-02-12,64235,LINN,Sharpstad,Male,No,Employed,2025-01-30
0000002552,002552,Adoptive parent,Wiggins,James,Manuel,,1981-12-13,63420,DUNKLIN,New Nathan,Male,No,Employed,2026-01-04
0000002552,002552,Court appointed guardian,Wilson,Bobby,Dennis,,1984-02-21,63420,DUNKLIN,New Nathan,Male,Yes,Not in Labor Force,2021-11-09
0000002553,002553,Grandfather,Anderson,Patrick,Brandon,,1997-06-08,63472,MISSISSIPPI,Vaughnfort,Male,No,Employed,2023-07-22
0000002554,002554,Grandfather,Miller,Daniel,Richard,,1979-01-22,64909,PLATTE,Lake Brentmouth,Male,No,Employed,2023-10-31
0000002554,002554,Grandmother,Alvarado,Jessica,Rachel,,1974-07-15,64909,PLATTE,Lake Brentmouth,Female,No,Employed,2024-12-26
0000002555,002555,Adoptive parent,Morris,Daniel,Kyle,,1984-02-06,63855,WRIGHT,North Amy,Male,Yes,Employed,2025-10-10
0000002555,002555,Foster Parent,Rogers,Mark,Charles,,1991-11-10,63855,WRIGHT,North Amy,Male,Yes,Not in Labor Force,2021-09-18
0000002556,002556,Aunt,Maynard,Christine,Carrie,,2001-06-21,64596,CARTER,Nolanhaven,Female,No,Employed,2025-02-15
0000002556,002556,Grandfather,Robinson,Jeremy,Scott,,2006-01-08,64596,CARTER,Nolanhaven,Male,No,Employed,2025-12-20
0000002557,002557,Stepmother,Brown,Julia,Allison,,2002-07-26,65489,RIPLEY,New Devinfort,Female,No,Part-time,2024-03-19
0000002557,002557,Court appointed guardian,Foster,Daniel,James,,1972-02-02,65489,RIPLEY,New Devinfort,Male,Yes,Employed,2023-07-20
0000002558,002558,Adoptive parent,Hart,Warren,Travis,,2001-03-11,65612,ST. LOUIS CITY,Lake Sara,Male,Yes,Employed,2021-08-04
0000002558,002558,Court appointed guardian,Davidson,Matthew,,,2006-04-29,65612,ST. LOUIS CITY,Lake Sara,Male,No,Part-time,2023-11-26
0000002559,002559,Grandfather,Donovan,Christopher,,,1991-08-09,64675,JASPER,West Joshuaview,Male,Yes,Not in Labor Force,2021-07-29
0000002560,002560,Grandmother,Hull,Sara,Christine,,1982-05-02,65142,GREENE,North Robertstad,Female,Yes,Employed,2023-05-15
0000002560,002560,Foster mother,Little,Lisa,Elizabeth,Jr.,1982-05-21,65142,GREENE,North Robertstad,Female,Yes,Employed,2021-03-17
0000002561,002561,Court appointed guardian,Reed,Andrew,Jordan,,1996-03-04,63137,HOLT,East Barryborough,Male,No,Part-time,2022-06-25
0000002562,002562,Father,Hernandez,Casey,,,2006-12-26,64438,BATES,East Jennifer,Male,Yes,Not in Labor Force,2022-10-28
0000002563,002563,Aunt,Martin,Patricia,Madison,,1987-12-30,63135,SULLIVAN,West Jennifer,Female,Yes,Employed,2025-11-06
0000002564,002564,Grandmother,Howe,Nicole,,,1995-10-21,64802,MARIES,Oliviachester,Female,Yes,Not in Labor Force,2025-07-14
0000002564,002564,Foster mother,Wagner,Cassandra,Crystal,,1974-11-01,64802,MARIES,Oliviachester,Female,No,Employed,2025-08-29
0000002565,002565,Foster mother,Oneill,Debra,Heidi,,2007-08-21,64453,HOWELL,Jenniferbury,Female,Yes,Part-time,2021-07-28
0000002565,002565,Stepmother,Summers,Sarah,Debra,,1993-01-19,64453,HOWELL,Jenniferbury,Female,Yes,Not in Labor Force,2022-11-14
0000002566,002566,Adoptive parent,Green,Matthew,Benjamin,,1998-08-22,63229,MACON,New Amandaberg,Male,No,Employed,2022-05-17
0000002567,002567,Foster Parent,Cook,Dennis,Frederick,,1970-04-13,64606,DAVIESS,South Felicialand,Male,Yes,Employed,2021-10-12
0000002567,002567,Foster father,Williamson,Charles,Benjamin,,1996-04-02,64606,DAVIESS,South Felicialand,Male,Yes,Employed,2023-10-06
0000002568,002568,Grandfather,Garcia,Tyler,Edward,,1973-02-26,64835,LACLEDE,New Kaitlyn,Male,Yes,Employed,2026-01-06
0000002568,002568,Court appointed guardian,Sanchez,Tyler,Shawn,,1991-03-13,64835,LACLEDE,New Kaitlyn,Male,No,Part-time,2023-10-04
0000002569,002569,Foster Parent,Knight,Micheal,Alexander,,1975-12-07,65263,PERRY,Carlfurt,Male,Yes,Employed,2025-10-08
0000002569,002569,Grandmother,Williams,Brittany,,,1997-06-02,65263,PERRY,Carlfurt,Female,No,Part-time,2025-10-08
0000002570,002570,Foster father,Simmons,Shawn,Robert,,2004-12-12,65785,STONE,North Robert,Male,Yes,Part-time,2024-02-12
0000002571,002571,Adoptive parent,Lindsey,Angel,,,2001-03-20,65381,COLE,Skinnerfurt,Male,No,Employed,2023-03-05
0000002572,002572,Father,Reyes,Joseph,Michael,,1976-03-12,65705,PULASKI,Spearsland,Male,No,Unemployed,2021-12-23
0000002572,002572,Grandfather,West,Michael,,,1972-06-13,65705,PULASKI,Spearsland,Male,No,Employed,2025-10-22
0000002573,002573,Uncle,Hinton,Melvin,Kyle,,1988-06-05,64690,LIVINGSTON,Kimberlyview,Male,Yes,Employed,2022-04-06
0000002574,002574,Foster Parent,Hopkins,Michael,Edward,,1977-03-13,64487,LAFAYETTE,Pettyport,Male,No,Unemployed,2024-06-26
0000002574,002574,Aunt,Cross,Linda,Leslie,,1975-07-09,64487,LAFAYETTE,Pettyport,Female,Yes,Part-time,2022-03-30
0000002575,002575,Grandmother,Wilson,Evelyn,Chelsea,,1983-01-02,63101,ADAIR,West Deborahfurt,Female,No,Not in Labor Force,2022-06-02
0000002575,002575,Court appointed guardian,Reynolds,Zachary,,,1979-12-24,63101,ADAIR,West Deborahfurt,Male,Yes,Not in Labor Force,2023-04-21
0000002576,002576,Stepmother,Bradford,Courtney,,,1972-06-30,64800,LINCOLN,Taylorville,Female,No,Part-time,2023-07-14
0000002576,002576,Foster Parent,Roberts,Garrett,Jeffrey,Jr.,1978-02-26,64800,LINCOLN,Taylorville,Male,No,Employed,2021-08-02
0000002577,002577,Foster mother,White,Kayla,,,1972-12-20,63504,MACON,Port Joanne,Female,Yes,Employed,2024-10-16
0000002577,002577,Uncle,Rivera,Theodore,,,2006-06-17,63504,MACON,Port Joanne,Male,No,Employed,2024-08-23
0000002578,002578,Foster mother,Reed,Catherine,Stacy,,1982-04-29,64931,JEFFERSON,North Erin,Female,No,Not in Labor Force,2022-04-16
0000002578,002578,Father,Flores,Brian,,,2000-12-14,64931,JEFFERSON,North Erin,Male,Yes,Employed,2025-11-03
0000002579,002579,Foster Parent,Osborne,Omar,Terrance,,1991-02-12,63439,LINCOLN,Averyville,Male,No,Employed,2022-10-11
0000002579,002579,Foster mother,Moore,Samantha,Emily,,2001-06-17,63439,LINCOLN,Averyville,Female,Yes,Employed,2024-02-19
0000002580,002580,Adoptive parent,Smith,Robert,,,2006-11-25,63645,LEWIS,Lake Larry,Male,Yes,Employed,2025-03-28
0000002580,002580,Aunt,Moore,Monica,Amy,,2007-08-07,63645,LEWIS,Lake Larry,Female,Yes,Part-time,2023-09-02
0000002581,002581,Grandfather,Yu,Richard,Kenneth,,1992-03-12,65487,PERRY,Bakerborough,Male,Yes,Employed,2025-02-14
0000002582,002582,Mother,Cortez,Samantha,Madison,,1991-05-27,64452,MORGAN,Staceyburgh,Female,Yes,Employed,2024-09-17
0000002582,002582,Foster mother,Lane,Jennifer,Jasmine,,1970-09-16,64452,MORGAN,Staceyburgh,Female,No,Employed,2021-04-23
0000002583,002583,Court appointed guardian,Peterson,Mark,,,1999-05-16,64532,JACKSON,West Stacy,Male,Yes,Employed,2025-08-05
0000002583,002583,Grandfather,Cooper,Christopher,,,2006-06-13,64532,JACKSON,West Stacy,Male,No,Employed,2024-10-29
0000002584,002584,Adoptive parent,Lewis,Andrew,Christopher,,2007-12-30,65341,CHARITON,North Jasminestad,Male,Yes,Not in Labor Force,2021-09-02
0000002585,002585,Court appointed guardian,Potts,David,,,1973-10-15,65321,ANDREW,Mitchellmouth,Male,Yes,Employed,2025-04-20
0000002585,002585,Foster father,Wallace,Timothy,David,,1987-08-28,65321,ANDREW,Mitchellmouth,Male,No,Not in Labor Force,2021-12-18
0000002586,002586,Grandmother,Kemp,Susan,Michele,,1971-11-14,64465,WAYNE,Victormouth,Female,No,Part-time,2026-01-19
0000002586,002586,Foster father,Bailey,Stephen,Mark,,1977-02-12,64465,WAYNE,Victormouth,Male,No,Part-time,2024-04-04
0000002587,002587,Grandfather,Blackburn,Robert,Aaron,,1991-10-27,65269,DENT,Staceystad,Male,No,Employed,2026-02-19
0000002588,002588,Foster Parent,Gross,Lance,Jeremy,Jr.,1989-08-20,65288,TANEY,Philliphaven,Male,Yes,Employed,2021-07-28
0000002588,002588,Stepmother,Ritter,Tara,Katie,,1992-05-30,65288,TANEY,Philliphaven,Female,No,Employed,2025-11-06
0000002589,002589,Court appointed guardian,Howard,Raymond,Alexander,Jr.,1980-03-27,64009,CLINTON,Davidburgh,Male,Yes,Not in Labor Force,2025-07-26
0000002589,002589,Grandfather,Mills,Edward,Peter,,1994-03-18,64009,CLINTON,Davidburgh,Male,No,Employed,2022-09-12
0000002590,002590,Foster mother,Garcia,Patricia,Kathryn,,1970-05-26,65508,CHARITON,Saraport,Female,No,Not in Labor Force,2023-09-19
0000002590,002590,Foster father,Ford,Peter,Richard,,2001-02-12,65508,CHARITON,Saraport,Male,Yes,Unemployed,2024-12-14
0000002591,002591,Stepmother,Lopez,Sarah,Angela,,1996-09-07,65146,STODDARD,Carlsonmouth,Female,No,Employed,2023-02-27
0000002591,002591,Grandfather,Martin,Kevin,,,1992-08-19,65146,STODDARD,Carlsonmouth,Male,Yes,Employed,2025-10-31
0000002592,002592,Grandmother,Aguilar,Christina,Lynn,,1994-01-15,63166,LINN,Whitebury,Female,No,Unemployed,2023-02-23
0000002593,002593,Foster mother,Parker,Kelly,Megan,Jr.,1988-04-22,64505,HARRISON,West Hunterville,Female,Yes,Employed,2023-03-05
0000002593,002593,Adoptive parent,Smith,David,,,1993-10-31,64505,HARRISON,West Hunterville,Male,No,Employed,2026-01-17
0000002594,002594,Adoptive parent,Ruiz,Kevin,,,1994-07-09,64035,CHARITON,Debrashire,Male,No,Part-time,2021-08-27
0000002595,002595,Foster father,Mcknight,Brian,Ernest,,1992-01-23,63170,CRAWFORD,West Kimberlyport,Male,No,Not in Labor Force,2024-12-28
0000002595,002595,Adoptive parent,Mcdonald,Steve,Eric,,2006-01-19,63170,CRAWFORD,West Kimberlyport,Male,Yes,Employed,2023-01-21
0000002596,002596,Uncle,Garcia,Roberto,Jesus,,1982-12-06,64805,BUCHANAN,Pereztown,Male,Yes,Part-time,2025-01-18
0000002596,002596,Father,Gutierrez,Douglas,Jason,,1984-05-29,64805,BUCHANAN,Pereztown,Male,Yes,Employed,2025-12-21
0000002597,002597,Mother,Simpson,Kristi,Samantha,,1977-12-25,63119,CALDWELL,Samanthaberg,Female,Yes,Employed,2023-05-16
0000002597,002597,Foster Parent,Jones,James,David,,2007-07-10,63119,CALDWELL,Samanthaberg,Male,No,Employed,2021-09-21
0000002598,002598,Uncle,Wood,Tyler,Robert,,2000-12-19,63339,DADE,Lucasborough,Male,No,Part-time,2026-02-09
0000002599,002599,Aunt,Jones,Brenda,,,1988-12-08,63654,GASCONADE,South Pamela,Female,Yes,Employed,2023-04-23
0000002599,002599,Stepmother,Ramirez,Kathleen,Katherine,,1976-05-21,63654,GASCONADE,South Pamela,Female,Yes,Employed,2023-03-11
0000002600,002600,Foster father,Dennis,David,,,1977-11-28,63926,NEWTON,Williamsfort,Male,No,Employed,2022-10-12
0000002601,002601,Grandfather,Johnson,Adam,Samuel,,1995-02-28,65026,NODAWAY,Lake Allisonmouth,Male,No,Employed,2025-03-05
0000002601,002601,Stepfather,Kane,Justin,Dale,,1974-08-11,65026,NODAWAY,Lake Allisonmouth,Male,No,Not in Labor Force,2022-06-30
0000002602,002602,Grandfather,Jones,Michael,,,1973-01-24,64274,LAWRENCE,Andersonchester,Male,Yes,Employed,2021-07-30
0000002602,002602,Mother,Wallace,Natalie,,,1971-11-19,64274,LAWRENCE,Andersonchester,Female,No,Employed,2021-07-25
0000002603,002603,Mother,Mcdonald,Jody,Elizabeth,,1979-12-20,63807,ANDREW,West Rhondaton,Female,Yes,Not in Labor Force,2023-12-16
0000002604,002604,Court appointed guardian,Carroll,Zachary,Michael,,1973-10-27,64214,DALLAS,Randolphland,Male,No,Part-time,2024-02-05
0000002605,002605,Stepmother,Stone,Roberta,Stacey,,1977-05-01,65845,HOWARD,North Anthonyberg,Female,No,Unemployed,2023-08-29
0000002605,002605,Adoptive parent,Scott,Cody,Barry,,2000-09-11,65845,HOWARD,North Anthonyberg,Male,No,Employed,2023-11-07
0000002606,002606,Stepmother,Jones,Deborah,Penny,,1998-08-21,65664,STONE,West Steven,Female,No,Employed,2023-09-13
0000002606,002606,Court appointed guardian,Richards,Alexander,Jonathan,,1987-09-08,65664,STONE,West Steven,Male,No,Employed,2024-05-17
0000002607,002607,Mother,Munoz,Heidi,Debra,,1977-06-29,63770,HOLT,New Heather,Female,Yes,Employed,2024-08-16
0000002607,002607,Adoptive parent,Rhodes,Christopher,Donald,,1995-12-16,63770,HOLT,New Heather,Male,Yes,Employed,2021-06-17
0000002608,002608,Foster Parent,Rodriguez,Christopher,Marcus,,1982-04-04,63766,GENTRY,South Victoriaton,Male,Yes,Unemployed,2025-02-13
0000002608,002608,Grandmother,Sullivan,Ebony,,,1993-03-16,63766,GENTRY,South Victoriaton,Female,No,Employed,2021-10-24
0000002609,002609,Uncle,Webb,Scott,,,1996-09-19,63709,BARRY,New Kimberly,Male,No,Employed,2024-01-06
0000002609,002609,Adoptive parent,Ayala,Chase,Richard,,1996-10-14,63709,BARRY,New Kimberly,Male,Yes,Part-time,2024-10-03
0000002610,002610,Father,Burke,Joseph,Jeffrey,,1971-02-15,65161,LAWRENCE,New Jessica,Male,Yes,Employed,2025-07-21
0000002610,002610,Adoptive parent,Carey,Tom,David,,1981-08-27,65161,LAWRENCE,New Jessica,Male,Yes,Part-time,2024-10-26
0000002611,002611,Court appointed guardian,Bautista,Gregory,Kevin,,2003-05-17,64942,ATCHISON,Margaretborough,Male,No,Employed,2021-05-22
0000002611,002611,Grandfather,English,Christopher,,,1970-12-06,64942,ATCHISON,Margaretborough,Male,No,Employed,2022-02-28
0000002612,002612,Grandfather,Osborn,Jose,,,1984-12-14,65880,CLARK,Perezborough,Male,No,Not in Labor Force,2025-06-10
0000002612,002612,Foster father,Hawkins,Jonathan,Tyler,,1980-09-27,65880,CLARK,Perezborough,Male,Yes,Employed,2025-10-28
0000002613,002613,Court appointed guardian,Holmes,Christian,,,1986-02-10,65297,GREENE,Vazquezbury,Male,No,Unemployed,2021-10-24
0000002613,002613,Grandfather,Robbins,James,Wayne,,1980-08-22,65297,GREENE,Vazquezbury,Male,Yes,Employed,2025-08-22
0000002614,002614,Stepmother,Simmons,Ashley,Sheri,,2003-08-29,64881,RAY,Teresafort,Female,No,Employed,2025-03-12
0000002614,002614,Adoptive parent,Mitchell,Jimmy,Anthony,,1982-07-22,64881,RAY,Teresafort,Male,No,Unemployed,2022-11-20
0000002615,002615,Grandmother,Jackson,Stephanie,Mackenzie,,2004-02-16,63846,RAY,South Catherine,Female,No,Not in Labor Force,2021-03-30
0000002615,002615,Grandfather,Smith,Peter,,,1990-09-02,63846,RAY,South Catherine,Male,Yes,Employed,2025-02-25
0000002616,002616,Grandfather,Thomas,Carl,Michael,,2006-07-24,63233,DENT,South Benjamin,Male,No,Part-time,2021-03-27
0000002617,002617,Grandmother,Kennedy,Melanie,Carrie,,1970-06-25,65896,ANDREW,Deannaside,Female,No,Employed,2024-05-06
0000002617,002617,Stepmother,Sanders,Monica,Kristen,,1993-12-09,65896,ANDREW,Deannaside,Female,No,Employed,2023-04-07
0000002618,002618,Adoptive parent,Lynch,Mark,Dale,,1975-10-30,64283,MONITEAU,Lake Christopher,Male,Yes,Employed,2025-12-02
0000002619,002619,Court appointed guardian,Garcia,Bryan,Jose,,1993-11-05,64956,ST. CHARLES,Amandaview,Male,No,Unemployed,2022-03-07
0000002619,002619,Stepfather,Graham,Trevor,,,2001-04-20,64956,ST. CHARLES,Amandaview,Male,Yes,Part-time,2025-04-02
0000002620,002620,Stepfather,Molina,Raymond,Taylor,,1997-05-25,64797,BARTON,East Jason,Male,No,Employed,2021-11-26
0000002620,002620,Uncle,Torres,Christopher,Charles,,1975-05-29,64797,BARTON,East Jason,Male,No,Employed,2021-07-06
0000002621,002621,Foster mother,Brown,Patricia,Jenna,,1978-04-19,65495,PERRY,Lake William,Female,Yes,Part-time,2023-10-13
0000002622,002622,Stepfather,Osborn,Mathew,Brad,,1998-12-09,63133,LIVINGSTON,Annshire,Male,No,Unemployed,2024-01-29
0000002622,002622,Court appointed guardian,Weaver,Kurt,,,1995-08-05,63133,LIVINGSTON,Annshire,Male,Yes,Unemployed,2026-02-10
0000002623,002623,Foster mother,Lee,Carly,Melissa,,1976-11-11,63350,GASCONADE,East Jessica,Female,Yes,Unemployed,2025-11-08
0000002624,002624,Uncle,Downs,Eric,Paul,,1974-09-12,64095,REYNOLDS,Jasonton,Male,No,Employed,2024-01-28
0000002624,002624,Mother,White,Jill,Amber,,1997-01-11,64095,REYNOLDS,Jasonton,Female,No,Employed,2024-12-26
0000002625,002625,Foster mother,Thomas,Jennifer,,,2004-12-15,63133,MISSISSIPPI,Linbury,Female,No,Part-time,2021-09-16
0000002626,002626,Mother,Nelson,Maria,,,1987-02-09,65709,CARTER,Hillbury,Female,Yes,Employed,2024-12-02
0000002627,002627,Stepfather,Hansen,Evan,,,2006-01-24,63066,SULLIVAN,Kelseyside,Male,No,Employed,2025-06-07
0000002627,002627,Father,Hansen,Bobby,,,1980-01-14,63066,SULLIVAN,Kelseyside,Male,No,Employed,2024-06-19
0000002628,002628,Court appointed guardian,Anderson,Roger,David,,1988-04-28,65850,KNOX,Port Paul,Male,No,Employed,2024-09-23
0000002628,002628,Foster mother,Odonnell,Shelley,Wanda,,2005-01-20,65850,KNOX,Port Paul,Female,Yes,Employed,2024-05-04
0000002629,002629,Stepmother,Beck,Wendy,Rebekah,,1999-07-03,63525,NEWTON,New Maria,Female,No,Employed,2021-12-25
0000002629,002629,Uncle,Vega,Christopher,Greg,,1987-05-08,63525,NEWTON,New Maria,Male,Yes,Part-time,2021-04-25
0000002630,002630,Stepfather,Cross,John,,Jr.,1989-09-24,64733,JEFFERSON,Williamsmouth,Male,Yes,Unemployed,2025-03-09
0000002631,002631,Stepmother,Sims,Maria,,,1990-02-03,63891,OSAGE,West Christopherview,Female,Yes,Employed,2025-01-27
0000002631,002631,Stepfather,Sims,Jeffrey,Derrick,,1978-08-09,63891,OSAGE,West Christopherview,Male,No,Employed,2024-10-29
0000002632,002632,Aunt,Branch,Nicole,Stacy,,1985-05-12,63580,DADE,Nelsonshire,Female,Yes,Employed,2021-03-06
0000002632,002632,Father,Peterson,Matthew,,,1991-01-31,63580,DADE,Nelsonshire,Male,No,Employed,2021-03-01
0000002633,002633,Stepmother,Vargas,Tiffany,Katherine,,2006-06-11,63053,PERRY,New Manuel,Female,Yes,Employed,2024-11-21
0000002633,002633,Stepfather,Vargas,James,Philip,,2006-06-02,63053,PERRY,New Manuel,Male,No,Employed,2022-12-07
0000002634,002634,Father,Woods,Joseph,Taylor,,2006-06-12,63264,JOHNSON,Port Derrickview,Male,Yes,Employed,2024-10-16
0000002634,002634,Uncle,Stewart,Thomas,,,2002-02-04,63264,JOHNSON,Port Derrickview,Male,No,Not in Labor Force,2022-04-15
0000002635,002635,Stepfather,Jones,Gary,Daniel,,1978-03-17,64226,SCOTLAND,Davisland,Male,No,Employed,2024-12-26
0000002635,002635,Court appointed guardian,Johnson,Kevin,,,1979-07-13,64226,SCOTLAND,Davisland,Male,No,Employed,2024-10-09
0000002636,002636,Adoptive parent,Yu,Willie,Kevin,,1999-11-06,63094,MERCER,Port Jennifer,Male,No,Employed,2021-06-08
0000002636,002636,Aunt,Shelton,Jessica,Monique,,1987-07-31,63094,MERCER,Port Jennifer,Female,Yes,Employed,2024-12-19
0000002637,002637,Father,Ford,Trevor,Christopher,,2005-11-03,63082,PHELPS,Sullivanshire,Male,No,Not in Labor Force,2025-08-03
0000002637,002637,Foster Parent,Valenzuela,Bryan,Patrick,,1987-09-10,63082,PHELPS,Sullivanshire,Male,Yes,Part-time,2024-04-25
0000002638,002638,Foster mother,Suarez,Brittney,Kimberly,,2000-06-18,64076,TEXAS,Hallburgh,Female,No,Employed,2022-12-03
0000002638,002638,Mother,Simmons,Caitlin,Mary,,1998-10-27,64076,TEXAS,Hallburgh,Female,Yes,Employed,2022-10-17
0000002639,002639,Grandfather,Sanchez,Brian,Jerry,,2007-02-24,63451,SHANNON,Heatherhaven,Male,Yes,Employed,2021-11-29
0000002639,002639,Father,Johnson,Blake,,,2002-07-01,63451,SHANNON,Heatherhaven,Male,No,Employed,2024-08-15
0000002640,002640,Foster mother,Brown,Terri,,,1987-02-10,63879,WASHINGTON,Johnborough,Female,No,Employed,2024-05-06
0000002641,002641,Adoptive parent,Stevens,Gary,James,,1981-05-04,65402,ADAIR,Jamesland,Male,Yes,Employed,2022-05-24
0000002641,002641,Grandmother,Chavez,Ashley,Stacy,,1981-09-11,65402,ADAIR,Jamesland,Female,Yes,Employed,2022-08-22
0000002642,002642,Stepfather,Johnson,Michael,Richard,,2000-03-08,63932,WARREN,Hunterville,Male,No,Employed,2023-12-22
0000002642,002642,Adoptive parent,Avery,Andrew,Michael,,1996-10-17,63932,WARREN,Hunterville,Male,No,Employed,2023-08-06
0000002643,002643,Foster mother,Rodgers,Katherine,Stephanie,,1989-09-26,64581,CLINTON,Port Michaelfurt,Female,Yes,Part-time,2022-05-01
0000002643,002643,Court appointed guardian,Rowland,Robert,,,2007-07-22,64581,CLINTON,Port Michaelfurt,Male,No,Employed,2024-01-13
0000002644,002644,Father,Bowman,Chad,Michael,,1997-11-29,64559,MCDONALD,Timothyton,Male,No,Employed,2026-01-18
0000002645,002645,Stepmother,Foster,Alexandra,Cindy,,1981-08-28,65543,MONROE,Amychester,Female,Yes,Employed,2025-08-25
0000002645,002645,Aunt,Beltran,Karen,,,1999-10-10,65543,MONROE,Amychester,Female,Yes,Unemployed,2024-09-09
0000002646,002646,Father,Cole,Richard,Albert,,2000-11-23,65261,ST. LOUIS,Nicoleland,Male,Yes,Employed,2024-03-29
0000002646,002646,Foster father,Hall,Cory,Richard,,2005-12-30,65261,ST. LOUIS,Nicoleland,Male,No,Employed,2025-11-02
0000002647,002647,Adoptive parent,Wood,Connor,,,1977-12-23,65590,TEXAS,West Michaelaton,Male,Yes,Employed,2025-04-16
0000002648,002648,Grandfather,Fitzgerald,David,,,1974-04-24,65045,ST. CLAIR,North Brianna,Male,No,Employed,2025-10-25
0000002648,002648,Father,Walker,Kenneth,Robert,,1971-04-03,65045,ST. CLAIR,North Brianna,Male,No,Employed,2025-01-11
0000002649,002649,Grandmother,Hodge,Krista,Kayla,,2004-09-05,65527,REYNOLDS,Alexanderville,Female,Yes,Employed,2023-11-19
0000002649,002649,Stepfather,Lopez,Ray,Joshua,,1996-10-27,65527,REYNOLDS,Alexanderville,Male,Yes,Employed,2023-12-25
0000002650,002650,Grandmother,Ford,Virginia,,,1975-05-29,64863,HENRY,Walkerborough,Female,Yes,Employed,2022-01-16
0000002650,002650,Mother,Hudson,Lauren,Shelly,,1988-06-07,64863,HENRY,Walkerborough,Female,No,Not in Labor Force,2021-05-08
0000002651,002651,Foster Parent,Meadows,Kevin,,,1979-02-05,64081,HARRISON,Michaelburgh,Male,Yes,Employed,2025-03-01
0000002651,002651,Stepfather,Smith,Matthew,Ryan,,1985-03-17,64081,HARRISON,Michaelburgh,Male,No,Employed,2025-07-12
0000002652,002652,Foster mother,White,Anna,Amanda,,1980-08-29,63659,WAYNE,Evansland,Female,Yes,Employed,2023-04-20
0000002653,002653,Mother,Oliver,Julia,,,1985-12-01,65079,LAFAYETTE,Cherylstad,Female,No,Unemployed,2022-02-20
0000002653,002653,Stepmother,Oliver,Amanda,Courtney,,1972-07-28,65079,LAFAYETTE,Cherylstad,Female,No,Part-time,2023-02-03
0000002654,002654,Adoptive parent,Scott,Austin,Kenneth,,1985-02-01,63331,ST. LOUIS,Karenport,Male,No,Unemployed,2021-05-08
0000002654,002654,Foster father,Rush,Matthew,Michael,,1998-08-25,63331,ST. LOUIS,Karenport,Male,Yes,Part-time,2025-05-22
0000002655,002655,Uncle,Hill,Robert,Dominic,,1972-08-06,65201,CLAY,Cherylfurt,Male,Yes,Employed,2023-11-20
0000002655,002655,Aunt,Baker,Angela,Ashley,,1976-06-25,65201,CLAY,Cherylfurt,Female,Yes,Not in Labor Force,2025-01-17
0000002656,002656,Adoptive parent,Stevens,Christopher,Geoffrey,,1970-09-19,64015,PERRY,Joshuamouth,Male,Yes,Unemployed,2021-09-01
0000002657,002657,Foster Parent,Snyder,Jonathan,Anthony,,1982-12-24,65134,PUTNAM,New Katherineside,Male,Yes,Employed,2022-08-30
0000002657,002657,Aunt,Smith,Sarah,,,1976-04-15,65134,PUTNAM,New Katherineside,Female,No,Employed,2024-10-24
0000002658,002658,Mother,Mason,Tanya,Tammy,,1976-12-26,63869,CARTER,New Jennifer,Female,Yes,Employed,2024-08-11
0000002659,002659,Court appointed guardian,Moore,Ronald,,,1996-04-09,65718,CALLAWAY,Coryburgh,Male,No,Employed,2025-05-15
0000002660,002660,Court appointed guardian,Osborne,Christopher,,,1997-11-19,64682,NEWTON,Andersonburgh,Male,No,Employed,2025-10-27
0000002660,002660,Father,Shannon,Melvin,David,,2003-01-14,64682,NEWTON,Andersonburgh,Male,No,Employed,2024-08-29
0000002661,002661,Court appointed guardian,Hughes,Daniel,Barry,,2006-07-26,63746,CLINTON,Jameschester,Male,Yes,Unemployed,2022-04-29
0000002661,002661,Grandmother,Sherman,Caitlin,Julia,,2000-05-08,63746,CLINTON,Jameschester,Female,Yes,Employed,2023-05-09
0000002662,002662,Stepfather,Villarreal,John,John,,1994-12-27,64688,GASCONADE,North John,Male,Yes,Part-time,2023-09-13
0000002662,002662,Foster Parent,Lopez,Donald,Alexander,,2005-04-20,64688,GASCONADE,North John,Male,No,Employed,2025-12-02
0000002663,002663,Stepfather,Torres,Thomas,Gary,,2004-08-07,64497,SHANNON,East Jenniferbury,Male,Yes,Employed,2022-08-03
0000002663,002663,Mother,Torres,Olivia,Amy,,1984-08-19,64497,SHANNON,East Jenniferbury,Female,Yes,Employed,2023-11-06
0000002664,002664,Grandmother,Best,Debbie,Maria,,1999-11-05,64191,PHELPS,Danielville,Female,No,Employed,2024-02-18
0000002665,002665,Aunt,Roberts,Katherine,Jessica,,2007-04-15,65051,GREENE,Allisonfurt,Female,Yes,Employed,2025-02-05
0000002666,002666,Court appointed guardian,Hines,Lucas,Karl,,1988-05-28,64906,CHARITON,New Shelbyland,Male,No,Employed,2022-02-13
0000002667,002667,Father,Green,Randy,Gabriel,,1998-11-21,63297,FRANKLIN,Angelaborough,Male,No,Employed,2024-02-21
